frame,fps_frame,n_dets,n_fused,n_tracks,n_drawn,n_voronoi_points,n_hold_points,dup_pairs,id_switches_cum
380,1.155,21,18,18,11,11,0,0,125
381,1.11,22,18,18,11,11,0,0,125
382,1.15,22,18,18,11,11,0,0,125
383,1.118,21,17,17,11,11,0,0,127
384,1.144,21,17,17,11,11,0,0,129
385,1.131,21,17,17,11,11,0,0,131
386,1.115,21,18,18,11,11,0,0,133
387,1.147,21,17,17,11,11,0,0,135
388,1.141,21,18,18,11,11,0,0,137
389,1.123,21,18,18,11,11,0,0,139
390,1.131,21,18,18,11,11,0,0,141
391,1.131,21,19,19,11,11,0,0,143
392,1.151,21,18,18,11,11,0,0,145
393,1.149,21,18,18,11,11,0,0,149
394,1.117,21,19,19,11,11,0,0,153
395,1.075,22,19,19,11,11,0,0,157
396,1.067,23,21,21,11,11,0,0,161
397,1.106,24,21,21,11,11,0,0,165
398,1.11,23,20,20,11,11,0,0,169
399,1.143,22,19,19,11,11,0,0,172
400,1.055,23,19,19,11,11,0,0,174
401,1.113,23,20,20,11,11,0,0,176
402,1.106,22,17,17,11,11,0,0,177
403,1.099,22,17,17,11,11,0,0,177
404,1.104,22,17,17,11,11,0,0,177
405,1.143,22,17,17,11,11,0,0,177
406,1.083,22,18,18,11,11,0,0,177
407,1.098,22,19,19,11,11,0,0,177
408,1.093,23,20,20,11,11,0,0,177
409,1.101,22,20,20,11,11,0,0,177
410,1.13,23,21,21,11,11,0,0,178
411,1.06,23,21,21,11,11,0,0,180
412,1.095,23,20,20,11,11,0,0,182
413,1.141,23,20,20,11,11,0,0,184
414,1.046,25,22,22,11,11,0,0,187
415,1.071,24,20,20,11,11,0,0,190
416,1.101,23,20,20,11,11,0,0,192
417,1.022,24,20,20,11,11,0,0,194
418,1.107,22,20,20,11,11,0,0,196
419,1.073,22,20,20,11,11,0,0,198
420,1.021,22,20,20,11,11,0,0,200
421,1.051,22,21,21,11,11,0,0,202
422,1.075,22,20,20,11,11,0,0,204
423,1.049,22,20,20,11,11,0,0,206
424,1.093,22,20,20,11,11,0,0,208
425,1.081,22,20,20,11,11,0,0,210
426,1.111,22,21,21,11,11,0,0,212
427,1.104,22,21,21,11,11,0,0,214
428,1.087,21,19,19,11,11,0,0,216
429,1.158,21,18,18,11,11,0,0,217
430,1.125,22,19,19,11,11,0,0,217
431,1.117,22,19,19,11,11,0,0,217
432,1.074,23,21,21,11,11,0,0,218
433,1.075,23,21,21,11,11,0,0,220
434,1.046,23,21,21,11,11,0,0,222
435,1.112,23,21,21,11,11,0,0,224
436,1.09,23,20,20,11,11,0,0,226
437,1.111,23,21,21,11,11,0,0,228
438,1.105,22,20,20,11,11,0,0,230
439,1.087,23,21,21,11,11,0,0,232
440,1.077,22,21,21,11,11,0,0,234
441,1.075,22,21,21,11,11,0,0,236
442,1.08,22,20,20,11,11,0,0,238
443,1.052,23,20,20,11,11,0,0,240
444,1.137,22,21,21,11,11,0,0,242
445,1.08,22,21,21,11,11,0,0,244
446,1.068,21,20,20,11,11,0,0,246
447,1.141,21,19,19,11,11,0,0,248
448,1.124,21,20,20,11,11,0,0,250
449,1.162,21,19,19,11,11,0,0,251
450,1.107,21,18,18,11,11,0,0,251
451,1.081,22,20,20,11,11,0,0,252
452,1.131,21,20,20,11,11,0,0,254
453,1.125,21,19,19,11,11,0,0,255
454,1.13,21,20,20,11,11,0,0,256
455,1.103,21,20,20,11,11,0,0,258
456,1.108,20,17,17,11,11,0,0,259
457,1.138,19,16,16,9,11,2,0,259
458,1.082,21,17,17,10,11,1,0,259
459,1.154,20,17,17,10,11,1,0,259
460,1.171,20,18,18,10,11,1,0,259
461,1.123,21,18,18,10,11,1,0,259
462,1.128,21,19,19,10,11,1,0,259
463,1.082,22,19,19,10,11,1,0,259
464,1.047,23,21,21,10,11,1,0,260
465,1.084,22,21,21,10,11,1,0,262
466,1.113,21,20,20,10,11,1,0,264
467,1.105,21,20,20,10,11,1,0,266
468,1.13,20,19,19,10,11,1,0,268
469,1.149,20,19,19,10,11,1,0,270
470,1.045,21,20,20,10,11,1,0,272
471,1.085,21,20,20,10,11,1,0,274
472,1.103,22,21,21,10,11,1,0,276
473,1.12,22,21,21,10,11,1,0,278
474,1.096,20,19,19,10,11,1,0,280
475,1.159,20,19,19,10,11,1,0,282
476,1.154,21,19,19,10,11,1,0,284
477,1.158,21,19,19,10,11,1,0,286
478,1.132,22,20,20,10,11,1,0,288
479,1.078,22,20,20,10,11,1,0,290
480,1.065,21,20,20,10,11,1,0,292
481,1.143,21,19,19,10,11,1,0,294
482,1.152,20,18,18,10,11,1,0,296
483,1.155,20,18,18,10,11,1,0,298
484,1.181,20,20,20,10,11,1,0,300
